YorubaWords,PartOfSpeech
 awọn ti o mura, n
 idawo ogun duro., n
 ihamora., n
 ohun elo ogun., n
 egbę omo ogun., n
 õrun didun., n
 oju-işan ti a là, n
 dide., v
 ara Arabia., n
 ède Arabia., n
 yę fun iroko., adj
" onidajo, onilaja.", n
" gbigbo, didajofun.", n
 ibijoko labę iji igi., n
 apakan ayika., n
 birikiti., adj
 olori angeli., n
 olori awon bishop., n
 igbakeji bishop., n
" plofa, tafàtafà.", n
 agbajo erekuşu., n
" olori omolé, oga", n
 ti ariwa., adj
" yika, kiri.", prep
 ji loju orun., v
" pe-lejo, fi-sun.", v
 ifisun., n
 to lesęsę., v
 ito lesęsę., n
" alainitiju, ogboju.", adj
" iwoso, isoso.", n
" gbese ti a koi san, tehin.", n
" daduro, di-mu.", v
 dide., n
" de, bò.", v
" igberaga, irera.", n
 ofà., n
" ile kikun, fifi ile jona.", n
" ogbon, imo ona işe.", n
" imura si, itara si,", adj
 işan eję., n
" itara, igbona ara.", n
" şoro, nira.", adj
" ni, mbę, wà, si.", v
 ile ti a pālà si., n
 ibi ere., n
" and i. saroye, jiyan, ladi.", v
" işaroye, ijiyan,", n
 gbigbę., adj
 tito. yiye., adv
" dide, ji loju orun.", v
" gbajumo ilu,", n
 ęko işiro., n
" oko Noa, apoti kekere, apoti èrí.", n
 apa. v. di ihamora, n
" gbọn, larekerekė.", adj
" nkan, ohun kan.", n
" and i. soro, lahun.", v
 ogbonkogbon., n
 onişòna., n
 ifiogbonse., adj
" ibọn nhà, ọmọ-ogun àgbá, àgbá.", n
 onisonà., n
 eniti nşe aworan., n
 alailarekereke., adj
" bi, gege bi.", conj
" and i. gòke, gùn.", v
 igoke., n
" igun oke, ibi-giga.", n
 mò daju., v
 eni nşe ara nişę., n
 fi-fun., v
 tiju., adj
 ēru., n
" gunlę, nile.", adv
" ojo ekini ni Lent, ojo iberę awę.", n
 lapakan., adv
" und i. bère, toro, bi-løre.", v
" sisùn, sùn.", adj
 pamolę., n
 iwò., n
" puro mo, gbadu-", v
 gbigbadulumo., n
" ifé ọkan, inòga si.", n
" dawole, noga si.", v
 kętękętę., n
 ko-lu., v
 alakolu., n
 apania., n
 lunipa., v
 ikolu., n
 apejo pipejopo., n
 and i. pè-jo., v
 apejo., n
" gbà, fé, jewọ.", n
" tenumo, wi, sq.", v
" pro, itenumo.", n
 diyele., v
 idiyele., n
 ohun ini., n
" lāpon, teramoşę, laisimi.", adv
" apon, aisimi. Assign, v. yan-silę, fi-lelowo.", n
" iyansile, ifile- lowo.", n
" and i. se-dabi, mu-jora. Assist, v. and i. ran-lowo.", v
" iranlowo. Assistant, n. oluranlowo.", n
" diyele, Ipade ejo awon arufin.", n
" and i. ba-kegbe, 2. dara-pomo. egbe, enikeji eni.", v
 egbe., n
 and i. ya sototo., v
" iyasototo, oni- rūru.", n
" dawole, gba-sodo. Assumption, n. işebi, idawole.", v
" idaniloju, igbe- kele.", n
" tenumo, so-daniloju.", v
" dajudaju, nitoto.", adv
 ami akiyesi *., n
 idi oko., adv
 iko fõ., n
 dide lo., adv
 yà-lenu., v
 iyanu., n
 yalenu., v
" kuro loju ona, , ni iyapa.", adv
 ni didakàtà ęsę., adv
" iwaki, didi.", adj
 eniti o mo irawo., n
 ękę irawo oju, n
 loto., adv
 ibi abò awọn otoşi., n
" ni, nibi. Ate, v. and i. jeun.", prep
 aigba wiwa Olorun gbó., n
 alaigbagbo pe Olorun mbę., n
 póngbę., adj
" onijakadi, eniti nsare ije.", n
" ijakadi, ere sisa. Athwart, prep. nibu.", n
 aworan ile aiye., n
 ofurufu ti o yi aiye ka., n
 erun kikini., n
" and i. setutu, tu-ninu, dahun fun.", v
" etutu, adehun.", n
" buruju, buru", adj
 işe buburu., n
 rirù., n
" and i. so-mo, daporno,", v
" idapomo, ifara-", n
" ko-lu, dojuko.", v
" and i. de, fọwọ tệ. Attainment, n. iní, ogbon, ohun", v
" gbidanwo, danwo,", v
" and i. fiyesi, duroti, durode.", v
" ifiyesi, ifetisile, iduroti.", n
" omo-odo, onitoju.", n
" ifetisilę, ifojusi.", n
 ru., adj
 and i. jeri si., v
 ęri., n
" se loso, wo lasp.", v
 iduro., n
" loju rere, dara,", adj
 rorò., adj
" otito, ododo.", adj
 fi eri ladi., v
" olupilęsę, akowe.", n
" agbara ofin, aşe.", n
" fi aşę fun, je.", v
 itan igbe aiye ti atikaraeni ko., n
 eniti o fi agbara rè, n
 iko oruko eni funra eni., n
 eyiti oşişe fun rarę., adj
 akoko ikore., n
 oluranlowo., n
" and i. gba anfani, şe ni rere, wulo.", v
" lerè, ye, şanfani.", adj
" onitoju ohun ini, aşoju eni labę ofin.", n
 ojukokoro., n
" fa-mora, tàn.", v
 õfa., n
 eyiti nfa ni., adj
" fi fun, ka si lorun. Auction, n. oja tita adijera,", v
 onigbanjo., n
" gboju, lafojudi.", adj
 igboju afojudi., n
 gbigbo gbangba., adj
" agboteni. Audit, n. ijeri iwe işiro owo.", n
 ajeri owo., n
 ohunkohun., n
" and i. sodi pupo,", v
 alafose., n
 asotelę., n
" nlanla, titobi.", adj
 oşu kējo lodun., n
 arabinrin baba tabi iya., n
" abò, itoju.", n
 lojukokoro., adj
 gbęsan., v
 olugbesan., n
 ona gbōro lenu igbo., n
" aife, aidunmo. Aversion, n. irira, aifé.", adj
" mu-kuro, da-duro, yi-pada.", v
 ile çiye., n
 iwarapapa., n
" işe, ipo.", n
" yana silę, yè kuro.", v
 and i. tenumo., v
" kede nigbangba, jewo.", v
 itenumo nigbangba., n
" reti, duro de, mura silę de.", v
" and i. ji loju orun, laisun.", v
 şe-idajo., v
 mộ., adj
" kuro, kalo.", adv
" èru, iberu.", n
 nibèru., adj
 nigba dię., adv
" gò, nira, airorun.", adj
 õlu., n
 aso tita ki õrun ma, n
" gbun, wó.", adj
 ake., n
" beni, õto.", adv
 lailai., adv
" and i. so werewere, aheso.", v
 alahesp., n
 irukerudo., n
 obo nla., n
" apon, alailobirin.", n
" or adv. shin. v. ti- lehin, ran-lowo.", n
" sọrọ ẹni lehin, bú, gàn.", v
" abúni, agànni, asoro eni lehin.", n
 egun ehin., n
 phin ohunkohun., n
" ya kuro lona rere,", v
 apadasęhin., n
" fasehin, lora,", adj
 èjó elędę ti a fi iyo si., n
" buburu, aidara.", adj
" and i. so-fun, faşe-fun.", v
 ami., n
" oruko eranko. v. lepa, yo-lenu, dalāmu.", n
 aidara., adv
" da-ru,, sq-dasan, tanje.", v
" apo, okę. v. fi-sapо.", n
 érù., n
 fere alapo awo., n
" onigbowo, adurofuni.", n
" ijoye, onidajo, plopa.", n
" ijé, idę. v. and i. de, fijèdé.", n
 aso onirun ganhun-ganhun., n
" and i. yan, din, sè.", v
" alasė, alakara.", n
 ilé ibiti a din nkan., n
" iwon, işiku owo.", n
 iwe işiro apapo owo., n
" odede, õde. Bald, adj. pipari, nihoho.", n
 apari., n
 ainirun., n
" erù, işę, iponju, oși.", n
" işu, ohunkohun ti o şù; ire ijo.", n
 orin áro., n
" imuduro, itemple.", n
 oko ofurufu., n
" iwe iyan-enia, ibd.", n
 iyará ijo., n
" ikunra, oje olõrun didun.", n
" olõrun didun, ituni.", adj
" oje, õgun, ikunra.", n
 pako., n
 tan-ję., v
" ifilo ni gbangba, itanu.", n
 ogędę., n
" èdidi, egbę.", n
" oja, èdidi.", n
" ploşa, alailofin.", n
" ęsę wiwo. Bane, n. iparun, ikú.", n
" ilù, ariwo lojiji. v. lù,tí, pariwo.", n
 oruka ti apa tabi ti ese., n
" ran-jade, le-lo. Banishment, n. ilekuro nilu.", v
" bebe, eti odo, ile owo.", n
 olori ile owo., n
 iwe ti a fi şe pasiparo owo., n
" ajigbese, ibaję dwò.", n
" opagun, asia.", n
 ifi igbeyawo lo., n
 àse., n
 idapara., n
 igi afon., n
" sami si li oruko Metalpkan, fi oruko fun.", v
" ami ijęwo, irisinu.", n
 irin tabi igi gboro; iyanrin ti ndi enu odo., n
 eti ofa., n
" alaigbede, alai- moye, eniakenia.", n
" aimo iwa hu, iwakiwa.", n
" afárun, afari, onidiri, onigbajamo.", n
" akewi, akorin.", n
" nihoho, laibo.", adj
" lainitiju; daju. Barefoot, adj. lainibata.", adj
 laibori., adj
 and i. se adehun., v
 oko igbaja., n
 plokỳ., n
" epo igi, oko kekere.", n
" qşe oti, iwukara.", n
" aká, aba.", n
 ohun elo lati fi won afefe., n
 oko kekere., n
 ile awon omo-ogun., n
 agbá., n
" yagan, așalė, laileso. Barrenness, n. iyagan, aileso.", adj
" idina, sagbaradi.", n
" abo, idina, ami ibikan.", n
 agbejoro., n
 kękę ęru., n
 and i. se paşiparo., v
" isalę, ipilę. adj. ailola, ainitari.", n
 omo-ale., adj
 lu., v
 nitiju., adj
 awo koto; adagun omi., n
" ipilę. Bask, v. ya õrun.", n
" agbòn, apèrè.", n
" ọmọ àle, omo agbere.", n
 gánşq fi pra si eran sise., v
 nà latelęsę., v
 adan., n
 apapo nkan., n
 and i. yowo oja., v
 baluwę (ibi-aluwę)., n
" wè, luwé.", v
" opa aşe, opa işę.", n
 egbe awon omo- ogun to 500 de 800., n
 igi pelębę., n
" and i. ki-molę, lu-", v
 ohun ija., n
" ija, ogun. v. jagun,", n
 odi., n
 and i. kigbe kikan., v
 iyawo omi okun sinuilę., n
 obę ibon., n
" ni, wà, si.", v
 eti okun., n
 ina lori oke fun ikilo, n
 ilękę., n
" onse ile ejo, oye ninu", n
 enu çiyę; imu., n
 iti igi; itanşan örun., n
" erë, popondo, ewę, èwa.", n
" amotękun. v. rù, gbé;", n
 irungbon., n
 alaru ojişę., n
 eranko ęlęsę merin., n
 bi ęranko., adj
" and i. lu, fó; bori.", v
" ilu, inà.", n
" ibukún orun, inu-didun.", n
" oge, olufe.", n
" dara, lewa.", adj
" şe-loso, se-lewa.", v
" ewa, qşó, didara.", n
 mudakę., v
 di; ye., v
 nitori., conj
" ba ni alabapade, şeşi.", v
 ijuwo si., n
" and i. juwo si, şe apere.", v
" and i. ba de si, di; ye.", v
 ibùsun; isalę odo; iro-gbokú., n
 fi-rę., v
" iyèwu, yará ibùsun.", n
" aşq ibusun, aso akete.", n
 şe-loso., v
 seri si., v
 awon larubawa ti ngbe inu ago., n
 wo ninu ere., v
 opa akete; ibusun (onirin tabi onigi)., n
" oyin, eşinşin ti nșe oyin.", n
 eran malu., n
 ile-oyin., n
 obonbon., n
" and i. ba, desi, şubulu.", v
" yę, to-si.", v
 tanje., v
" niwaju, siwaju, loju.", prep
 tète., adv
" so-dibaję, sq-deri. Befriend, v. ba-şore, ba-re sorefun.", v
" and i. şagbe, toro, bębe.", v
 beresi., v
" alagbe. Beggarly, adj. bi alagbe.", n
 eniti o kó bere nkan., n
" ipilęsę, atetekoşe, iberę nkan.", n
 lo kuro!, interj
" da ēri si, ba-ję.", v
 se ilara., v
 tan-ję., v
" irę, itilehin, ojurere.", n
" huwa, lò. Behaviour, n. iwa, iwa-aiye.", v
 be-lori., v
 ase., n
 lehin., prep
" lora, fa.", adv
 aworan., n
" yę, to-si.", v
 iwa; eda., n
" nà, lù.", v
 and i. gufe., v
 doti ilu., v
 ilé agogo., n
 oruko eșu., n
 olori awon emi Belie esu., n
" wà, ti wà.", v
 oti agbado; qti sise tabi pipon., n
 igbagbo., n
 and i. gba-gbo., v
 onigbagbo., n
" fi oju tinrin, gàn.", v
 agogo., n
 wundia elewa., n
 and i. ke bi mālu., v
 ewiri ti a fi nfena tabi efufu., n
" ikùn, inu.", n
 şe ohun eni; teni., v
 olufe., adj
" nisalę, omo-ehin. Belt, n. lawani, qjà amure; igbanu.", adv
" sokun, pohunrere ekun.", v
 ijoko., n
" and i. tè, wộ.", v
" nisalę, labę.", adv
" ibukun, isure.", n
" õre ānu, prę inurere.", n
" plõrę ānu, onibu ore; olore eni.", n
 iwa õrę; işorefun., n
" lere, anfani.", adj
" ère, anfani. v. şe ni rere.", n
 inurere., n
 rere., adj
" ilę şu, okunkun bá. Benign, Benignant, adj. seun, sojurere.", v
 inurere., n
" itę, idarisi.", n
 kó eti; sodi alaimo-rora., v
" fi ogún silę, pin ohun ini fun.", v
 ipin ogún fun., n
 gba lowo eni., v
" doti, rogbaka.", v
 fi ogun dó tì., v
 eniti o gbogun tì ni., n
 fi-ré., v
" pwò, alè.", n
 ta si lara., v
 bu-wón., v
 darajulo dara rekoja., adj
" bi ęranko. Bestir, v.refl. muragiri, ru-soke.", adj
" fi-fun, fi-bùn.", v
 fun kakiri., v
 dákàtà ęsę le., v
 and i. jiyan. n. ohun iyàn., v
"refl. ronu, mu wa si iranti.", v
" and i. de si, ba. Betimes, adv. lakoko, li kutu-kutu.", v
" sapere, şami, fihan tele.", v
" sofofo, şonikupani; fihan, tú aşiri.", v
" soyigi, şadehun igbeyawo.", v
 idana., n
" or adv. daraju, sanju.", adj
" mu san dię, tun şe.", v
 ohun mimu., n
 igbalowo nipa, n
" sokun, pohunrere ękun.", v
 eso., n
" yará ninu okò, ibi işę. Beseech, Besought, v. bẹ, toro, fi ębę ro.", n
" yę, tosi.", v
" and i. şora, yera, kiyesara.", v
" şi-lona, tan, da- lamu.", v
 idaru., n
" şajęsi, şe oșo si.", v
" idán, işaję si.", n
" fi-sùn, fi-han.", v
" niwaju, niha phún.", prep
" te-si, dari.", v
 igbá odun., n
" and i. faşęfun, pè; fi owo le.", v
 eni fi owo le oja., n
 aşę., n
" and i. duro de, joko.", v
 plodunmeji., adj
 aga рові., n
" nla, tobi.", adj
 alaya meji., n
 kiko obinrin meji jo., n
 eniti o di isin kan mu laimdye., n
 itara alaimdye., n
 ororo edo., n
 elede meji., adj
" enu şonso; iwe owo,", n
 iwe kekere., n
" riru omi, igbi omi okun.", n
 apoti., n
" dì, so-po, dilu.", v
 èdidi., n
 itan igbe aiye enikan., n
 elęsę meji., n
 pașan., n
 çiye., n
 ibi., n
 ojo ibí., n
 ogún ibí., n
 ibi ibi eni; ibiti, n
 kord., adj
 oda., n
" dudu; sú, buru;", n
 and i. so di dudu., v
